test3clickUI;test3clickdata;test3clickundo;test3clickredo;testWriteUI1s;testWriteData;testDnDDeltaMoveUI;testDnDDeltaMoveData;testDnDExactMove;testDnDUndo;testDnDRedo;2undo2redo;Note;Q1-1 TIME;Q1-2 TIME;Q1 TIME;Q1 TIME-LIMIT;Q2 TIME;Q2 TIME-LIMIT;Q3-1 TIME;Q3-2 TIME;Q3 TIME;Q3 TIME-LIMIT;Q1-1 LVL;Q1-2 LVL;Q2 LVL;Q3-1 LVL;Q3-2 LVL
1;1;1;1;1;1;1;1;0;1;1;1;;972;508;1480;1480;1185;1185;1632;416;2048;2048;3;4;4;6;6
1;1;1;0;0;1;0;0;0;;;0;first then dnd;729;556;1285;1285;1448;1200;2570;;2570;2400;2;3;4;8;
1;1;1;1;1;1;1;1;1;0;1;0;import issue undo;1203;1615;2818;2100;888;888;1653;1015;2668;2400;2;10;6;6;8
1;1;1;0;1;1;0;0;0;;;0;sends i to cmd, issue ms;;775;775;775;1001;1001;2644;;2644;2400;3;4;4;8;
1;1;1;1;1;1;0;0;0;;;0;had to comment code not compile;489;891;1380;1380;419;419;2833;;2833;2400;2;6;4;9;
1;1;1;1;1;1;1;1;0;1;1;1;;286;997;1283;1283;756;756;2292;631;2923;2400;2;4;4;7;5
0;1;0;0;0;0;0;0;0;;;0;;;;;;1509;1200;2043;;2043;2043;5;5;7;8;
1;1;1;0;0;1;0;0;0;;;0;;1400;657;2057;2057;731;731;2273;;2273;2273;3;6;5;8;
1;1;1;1;1;1;1;1;0;;;0;;415;672;1087;1087;538;538;2370;;2370;2370;3;5;4;7;
0;0;;;1;1;0;0;0;;;0;;;;1477;1200;1282;1200;826;;826;826;10;;10;10;
1;1;0;0;0;0;0;0;0;;;0;;1712;533;2245;2100;1196;1196;2316;;2316;2316;3;7;6;8;
1;1;0;0;1;1;0;0;0;;;0;;799;1394;2193;2100;605;605;2500;;2500;2400;2;6;2;7;
1;1;1;1;1;1;1;1;0;;;0;;1582;394;1976;1976;516;516;2863;;2863;2400;4;2;3;7;
1;1;;;1;1;0;0;0;;;0;;;;;;604;604;3355;;3355;2400;4;;5;;
1;0;1;1;0;0;0;0;0;;;0;;1447;758;2205;2100;596;596;2609;69;2678;2400;2;3;2;8;
0;0;;;0;0;0;0;0;;;0;;;;;;1307;1200;;;;;5;;5;6;
1;1;1;1;1;1;0;0;0;;;0;;1115;511;1626;1626;504;504;2065;;2065;2065;4;5;3;8;
1;1;1;0;1;1;0;0;0;0;0;0;;;;;;861;861;2344;;2344;2344;4;6;3;8;8
1;1;;;0;0;0;0;0;;;0;;;;;;787;787;2356;;2356;2356;2;;4;6;
1;1;1;1;1;1;1;1;0;;;0;;636;847;1483;1483;713;713;2442;;2442;2400;3;2;2;5;
1;1;1;1;1;1;1;1;0;0;0;0;own history;960;877;1837;1837;514;514;1488;1013;2501;2400;2;3;2;5;5
1;1;1;1;1;1;0;0;0;;;0;own history;1518;427;1945;1945;487;487;3212;;3212;2400;2;3;2;;
